Iter.,Eval.,Best,ical.rescale,ikr.rescale,IKs.rescale,INa.rescale,INaL.rescale,membrane.c0,Time m:s
154,1395,1.27E-01,9.93E-01,1.01E+00,1.01E+00,9.97E-01,1.03E+00,-7.79E+00,24955.39279
155,1404,9.38E-02,9.97E-01,1.00E+00,9.92E-01,1.00E+00,1.00E+00,-7.81E+00,25105.3188
156,1413,9.38E-02,9.97E-01,1.00E+00,9.92E-01,1.00E+00,1.00E+00,-7.81E+00,25252.63856
157,1422,7.75E-02,9.99E-01,1.00E+00,9.88E-01,1.00E+00,1.00E+00,-7.82E+00,25401.2441
158,1431,4.39E-02,9.99E-01,1.00E+00,9.96E-01,1.00E+00,1.00E+00,-7.78E+00,25555.26565
159,1440,3.73E-02,9.99E-01,1.00E+00,1.01E+00,9.98E-01,1.01E+00,-7.82E+00,25704.55912
160,1449,3.14E-02,1.00E+00,9.99E-01,9.99E-01,9.99E-01,9.95E-01,-7.82E+00,25852.56074
161,1458,3.14E-02,1.00E+00,9.99E-01,9.99E-01,9.99E-01,9.95E-01,-7.82E+00,26003.1172
162,1467,3.14E-02,1.00E+00,9.99E-01,9.99E-01,9.99E-01,9.95E-01,-7.82E+00,26150.58052
163,1476,2.86E-02,9.98E-01,1.00E+00,9.91E-01,1.00E+00,1.00E+00,-7.78E+00,26315.86303
164,1485,1.32E-02,1.00E+00,1.00E+00,9.98E-01,9.99E-01,1.00E+00,-7.80E+00,26465.66519
165,1494,1.02E-02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.01E+00,-7.79E+00,26614.92779
166,1503,4.71E-03,9.99E-01,1.00E+00,1.00E+00,9.99E-01,1.00E+00,-7.79E+00,26767.17135
167,1512,2.95E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,26924.78207
168,1521,2.95E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,27090.98575
169,1530,2.95E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,27244.45823
170,1539,2.27E-03,1.00E+00,1.00E+00,1.00E+00,9.99E-01,1.00E+00,-7.80E+00,27394.55024
171,1548,1.40E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,27547.72074
172,1557,1.40E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,27697.53903
173,1566,1.40E-03,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,27849.1215
174,1575,7.04E-04,1.00E+00,1.00E+00,9.98E-01,1.00E+00,9.98E-01,-7.80E+00,27998.23415
175,1584,7.04E-04,1.00E+00,1.00E+00,9.98E-01,1.00E+00,9.98E-01,-7.80E+00,28149.05235
176,1593,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,28299.09631
177,1602,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,28448.53769
178,1611,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,28602.21372
179,1620,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,28754.28064
